table_schema,table_name,column_name,data_type,is_nullable,column_default,ordinal_position,column_comment
archive,company_company_master_ctb,description,text,YES,,18,Free text description.
archive,company_company_master_ctb,source_system,text,YES,,19,Source system identifier.
archive,company_company_master_ctb,source_record_id,text,YES,,20,Original record ID from the source system.
archive,company_company_master_ctb,promoted_from_intake_at,timestamp with time zone,YES,,21,Timestamp when promoted from intake occurred.
archive,company_company_master_ctb,promotion_audit_log_id,integer,YES,,22,Identifier for promotion audit log.
archive,company_company_master_ctb,created_at,timestamp with time zone,YES,,23,Timestamp when this record was created.
archive,company_company_master_ctb,updated_at,timestamp with time zone,YES,,24,Timestamp of last modification to this record.
archive,company_company_master_ctb,state_abbrev,text,YES,,25,State abbrev. May be NULL.
archive,company_company_master_ctb,import_batch_id,text,YES,,26,Identifier for import batch.
archive,company_company_master_ctb,validated_at,timestamp with time zone,YES,,27,Timestamp when validated occurred.
archive,company_company_master_ctb,validated_by,text,YES,,28,Validated by. May be NULL.
archive,company_company_master_ctb,data_quality_score,numeric,YES,,29,Score for data quality.
archive,company_company_master_ctb,email_pattern,character varying,YES,,30,Email pattern. May be NULL.
archive,company_company_master_ctb,email_pattern_confidence,integer,YES,,31,Email pattern confidence. May be NULL.
archive,company_company_master_ctb,email_pattern_source,character varying,YES,,32,Email pattern source. May be NULL.
archive,company_company_master_ctb,email_pattern_verified_at,timestamp without time zone,YES,,33,Timestamp when email pattern verified occurred.
archive,company_company_master_ctb,ein,character varying,YES,,34,9-digit Employer Identification Number. No dashes.
archive,company_company_master_ctb,duns,character varying,YES,,35,Duns. May be NULL.
archive,company_company_master_ctb,cage_code,character varying,YES,,36,Cage code. May be NULL.
archive,company_company_master_ctb,archived_at,timestamp with time zone,YES,,37,Timestamp when this record was moved to archive.
archive,company_company_master_ctb,archive_reason,text,YES,,38,Reason for archive.
archive,company_company_sidecar_ctb,company_unique_id,character varying,YES,,1,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_company_sidecar_ctb,ein_number,character varying,YES,,2,Ein number. May be NULL.
archive,company_company_sidecar_ctb,dun_and_bradstreet_number,character varying,YES,,3,Dun and bradstreet number. May be NULL.
archive,company_company_sidecar_ctb,clay_tags,ARRAY,YES,,4,Array of clay tags.
archive,company_company_sidecar_ctb,clay_segments,ARRAY,YES,,5,Array of clay segments.
archive,company_company_sidecar_ctb,enrichment_payload,jsonb,YES,,6,JSONB data for enrichment payload.
archive,company_company_sidecar_ctb,last_enriched_at,timestamp without time zone,YES,,7,Timestamp when last enriched occurred.
archive,company_company_sidecar_ctb,enrichment_source,text,YES,,8,Enrichment source. May be NULL.
archive,company_company_sidecar_ctb,confidence_score,numeric,YES,,9,Confidence score (0-100).
archive,company_company_sidecar_ctb,created_at,timestamp without time zone,YES,,10,Timestamp when this record was created.
archive,company_company_sidecar_ctb,updated_at,timestamp without time zone,YES,,11,Timestamp of last modification to this record.
archive,company_company_sidecar_ctb,archived_at,timestamp with time zone,YES,,12,Timestamp when this record was moved to archive.
archive,company_company_slot_752509,company_slot_id,bigint,NO,nextval('archive.company_slot_company_slot_id_seq'::regclass),1,Identifier for company slot.
archive,company_company_slot_752509,company_id,bigint,NO,,2,Identifier for company.
archive,company_company_slot_752509,role_code,text,NO,,3,Role code.
archive,company_company_slot_752509,contact_id,bigint,YES,,4,Identifier for contact.
archive,company_company_slots_ctb,company_slot_unique_id,text,YES,,1,Identifier for company slot unique.
archive,company_company_slots_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_company_slots_ctb,slot_type,text,YES,,3,"Executive slot type (CEO, CFO, HR, etc.)."
archive,company_company_slots_ctb,slot_label,text,YES,,4,Slot label. May be NULL.
archive,company_company_slots_ctb,created_at,timestamp with time zone,YES,,5,Timestamp when this record was created.
archive,company_company_slots_ctb,archived_at,timestamp with time zone,YES,,6,Timestamp when this record was moved to archive.
archive,company_company_slots_ctb,archive_reason,text,YES,,7,Reason for archive.
archive,company_contact_enrichment_ctb,id,integer,YES,,1,Id. May be NULL.
archive,company_contact_enrichment_ctb,company_slot_unique_id,text,YES,,2,Identifier for company slot unique.
archive,company_contact_enrichment_ctb,linkedin_url,text,YES,,3,LinkedIn profile URL.
archive,company_contact_enrichment_ctb,full_name,text,YES,,4,Person full name.
archive,company_contact_enrichment_ctb,email,text,YES,,5,Email address.
archive,company_contact_enrichment_ctb,phone,text,YES,,6,Phone number.
archive,company_contact_enrichment_ctb,enrichment_status,text,YES,,7,Status of enrichment.
archive,company_contact_enrichment_ctb,enrichment_source,text,YES,,8,Enrichment source. May be NULL.
archive,company_contact_enrichment_ctb,enrichment_data,jsonb,YES,,9,JSONB data for enrichment data.
archive,company_contact_enrichment_ctb,created_at,timestamp without time zone,YES,,10,Timestamp when this record was created.
archive,company_contact_enrichment_ctb,enriched_at,timestamp without time zone,YES,,11,Timestamp when enriched occurred.
archive,company_contact_enrichment_ctb,archived_at,timestamp with time zone,YES,,12,Timestamp when this record was moved to archive.
archive,company_email_verification_ctb,id,integer,YES,,1,Id. May be NULL.
archive,company_email_verification_ctb,enrichment_id,integer,YES,,2,Identifier for enrichment.
archive,company_email_verification_ctb,email,text,YES,,3,Email address.
archive,company_email_verification_ctb,verification_status,text,YES,,4,Status of verification.
archive,company_email_verification_ctb,verification_service,text,YES,,5,Verification service. May be NULL.
archive,company_email_verification_ctb,verification_result,jsonb,YES,,6,JSONB data for verification result.
archive,company_email_verification_ctb,verified_at,timestamp without time zone,YES,,7,Timestamp of last verification.
archive,company_email_verification_ctb,created_at,timestamp without time zone,YES,,8,Timestamp when this record was created.
archive,company_email_verification_ctb,archived_at,timestamp with time zone,YES,,9,Timestamp when this record was moved to archive.
archive,company_marketing_company_752726,id,uuid,YES,,1,Id. May be NULL.
archive,company_marketing_company_752726,external_id,text,YES,,2,Identifier for external.
archive,company_marketing_company_752726,company_name,text,YES,,3,Company name.
archive,company_marketing_company_752726,industry,text,YES,,4,Industry classification.
archive,company_marketing_company_752726,employee_count,integer,YES,,5,Approximate employee count.
archive,company_marketing_company_752726,revenue_estimate,text,YES,,6,Revenue estimate. May be NULL.
archive,company_marketing_company_752726,zip_code,text,YES,,7,Zip code. May be NULL.
archive,company_marketing_company_752726,acceptability_score,numeric,YES,,8,Score for acceptability.
archive,company_marketing_company_752726,created_at,timestamp without time zone,YES,,9,Timestamp when this record was created.
archive,company_marketing_company_752726,description,text,YES,,10,Free text description.
archive,company_marketing_company_752726,employee_size_range,text,YES,,11,Employee size range. May be NULL.
archive,company_marketing_company_752726,company_type,text,YES,,12,Classification type for company.
archive,company_marketing_company_752726,location,text,YES,,13,Location. May be NULL.
archive,company_marketing_company_752726,country,text,YES,,14,Country code.
archive,company_marketing_company_752726,domain,text,YES,,15,Company domain (e.g. acme.com). No protocol prefix.
archive,company_marketing_company_752726,linkedin_url,text,YES,,16,LinkedIn profile URL.
archive,company_marketing_company_752726,competitors,text,YES,,17,Competitors. May be NULL.
archive,company_marketing_company_752726,address,text,YES,,18,Address. May be NULL.
archive,company_marketing_company_752726,funding_stage,text,YES,,19,Funding stage. May be NULL.
archive,company_marketing_company_752726,job_openings,integer,YES,,20,Job openings. May be NULL.
archive,company_marketing_company_752726,street_address,text,YES,,21,Street address. May be NULL.
archive,company_marketing_company_752726,city,text,YES,,22,City name.
archive,company_marketing_company_752726,state,text,YES,,23,US state code.
archive,company_marketing_company_752726,company_unique_id,text,YES,,24,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_marketing_company_752726,apollo_slug,text,YES,,25,Apollo slug. May be NULL.
archive,company_marketing_company_752726,ein,text,YES,,26,9-digit Employer Identification Number. No dashes.
archive,company_marketing_company_752726,form_5500_available,boolean,YES,false,27,Whether form 5500 available. Boolean.
archive,company_marketing_company_752726,benefits_offered,boolean,YES,false,28,Whether benefits offered. Boolean.
archive,company_marketing_company_752726,contact_scraped,boolean,YES,false,29,Whether contact scraped. Boolean.
archive,company_marketing_company_752726,outreach_phase,integer,YES,0,30,Outreach phase. May be NULL.
archive,company_marketing_company_752726,zip_phase,integer,YES,0,31,Zip phase. May be NULL.
archive,company_marketing_company_752726,updated_at,timestamp with time zone,YES,now(),32,Timestamp of last modification to this record.
archive,company_marketing_company_752726,source,text,YES,,33,Originating data source system.
archive,company_marketing_company_752726,notes,text,YES,,34,Free text notes.
archive,company_message_key_reference_ctb,message_key,text,YES,,1,Message key. May be NULL.
archive,company_message_key_reference_ctb,role,text,YES,,2,Role. May be NULL.
archive,company_message_key_reference_ctb,message_type,text,YES,,3,Classification type for message.
archive,company_message_key_reference_ctb,trigger_condition,text,YES,,4,Trigger condition. May be NULL.
archive,company_message_key_reference_ctb,vibeos_template_id,text,YES,,5,Identifier for vibeos template.
archive,company_message_key_reference_ctb,message_channel,text,YES,,6,Message channel. May be NULL.
archive,company_message_key_reference_ctb,subject_line,text,YES,,7,Subject line. May be NULL.
archive,company_message_key_reference_ctb,preview_text,text,YES,,8,Preview text. May be NULL.
archive,company_message_key_reference_ctb,send_delay_hours,integer,YES,,9,Send delay hours. May be NULL.
archive,company_message_key_reference_ctb,optimal_send_time,text,YES,,10,Optimal send time. May be NULL.
archive,company_message_key_reference_ctb,active,boolean,YES,,11,Whether active. Boolean.
archive,company_message_key_reference_ctb,created_at,timestamp with time zone,YES,,12,Timestamp when this record was created.
archive,company_message_key_reference_ctb,updated_at,timestamp with time zone,YES,,13,Timestamp of last modification to this record.
archive,company_message_key_reference_ctb,archived_at,timestamp with time zone,YES,,14,Timestamp when this record was moved to archive.
archive,company_message_key_reference_ctb,archive_reason,text,YES,,15,Reason for archive.
archive,company_pipeline_errors_ctb,id,integer,YES,,1,Id. May be NULL.
archive,company_pipeline_errors_ctb,event_type,text,YES,,2,Type of audit event.
archive,company_pipeline_errors_ctb,record_id,text,YES,,3,ID of the affected record.
archive,company_pipeline_errors_ctb,error_message,text,YES,,4,Human-readable error description.
archive,company_pipeline_errors_ctb,error_details,jsonb,YES,,5,JSONB data for error details.
archive,company_pipeline_errors_ctb,severity,text,YES,,6,"Severity level (e.g. critical, high, medium, low, warning)."
archive,company_pipeline_errors_ctb,resolved,boolean,YES,,7,Whether this issue has been resolved. Boolean.
archive,company_pipeline_errors_ctb,resolved_at,timestamp without time zone,YES,,8,Timestamp when this issue was resolved.
archive,company_pipeline_errors_ctb,resolved_by,text,YES,,9,Resolved by. May be NULL.
archive,company_pipeline_errors_ctb,resolution_notes,text,YES,,10,Resolution notes. May be NULL.
archive,company_pipeline_errors_ctb,created_at,timestamp without time zone,YES,,11,Timestamp when this record was created.
archive,company_pipeline_errors_ctb,archived_at,timestamp with time zone,YES,,12,Timestamp when this record was moved to archive.
archive,company_target_orphaned_archive_ctb,archived_at,timestamp with time zone,YES,,1,Timestamp when this record was moved to archive.
archive,company_target_orphaned_archive_ctb,archive_reason,text,YES,,2,Reason for archive.
archive,company_target_orphaned_archive_ctb,target_id,uuid,YES,,3,Identifier for target.
archive,company_target_orphaned_archive_ctb,company_unique_id,text,YES,,4,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_target_orphaned_archive_ctb,outreach_id,uuid,YES,,5,FK to outreach.outreach.outreach_id. Links to the operational spine.
archive,company_target_orphaned_archive_ctb,email_method,character varying,YES,,6,Email method. May be NULL.
archive,company_target_orphaned_archive_ctb,method_type,character varying,YES,,7,Classification type for method.
archive,company_target_orphaned_archive_ctb,confidence_score,numeric,YES,,8,Confidence score (0-100).
archive,company_target_orphaned_archive_ctb,execution_status,character varying,YES,,9,Status of execution.
archive,company_target_orphaned_archive_ctb,outreach_status,text,YES,,10,Status of outreach.
archive,company_target_orphaned_archive_ctb,bit_score_snapshot,integer,YES,,11,Bit score snapshot. May be NULL.
archive,company_target_orphaned_archive_ctb,first_targeted_at,timestamp with time zone,YES,,12,Timestamp when first targeted occurred.
archive,company_target_orphaned_archive_ctb,last_targeted_at,timestamp with time zone,YES,,13,Timestamp when last targeted occurred.
archive,company_target_orphaned_archive_ctb,sequence_count,integer,YES,,14,Count of sequence.
archive,company_target_orphaned_archive_ctb,active_sequence_id,text,YES,,15,Identifier for active sequence.
archive,company_target_orphaned_archive_ctb,source,text,YES,,16,Originating data source system.
archive,company_target_orphaned_archive_ctb,imo_completed_at,timestamp with time zone,YES,,17,Timestamp when imo completed occurred.
archive,company_target_orphaned_archive_ctb,is_catchall,boolean,YES,,18,Whether catchall. Boolean.
archive,company_target_orphaned_archive_ctb,industry,character varying,YES,,19,Industry classification.
archive,company_target_orphaned_archive_ctb,employees,integer,YES,,20,Employees. May be NULL.
archive,company_target_orphaned_archive_ctb,country,character varying,YES,,21,Country code.
archive,company_target_orphaned_archive_ctb,state,character varying,YES,,22,US state code.
archive,company_target_orphaned_archive_ctb,city,character varying,YES,,23,City name.
archive,company_target_orphaned_archive_ctb,postal_code,character varying,YES,,24,5-digit US ZIP code.
archive,company_target_orphaned_archive_ctb,data_year,integer,YES,,25,Data year. May be NULL.
archive,company_target_orphaned_archive_ctb,created_at,timestamp with time zone,YES,,26,Timestamp when this record was created.
archive,company_target_orphaned_archive_ctb,updated_at,timestamp with time zone,YES,,27,Timestamp of last modification to this record.
archive,company_target_orphaned_archive_ctb,sovereign_id,uuid,YES,,28,Identifier for sovereign.
archive,company_target_orphaned_archive_ctb,domain,character varying,YES,,29,Company domain (e.g. acme.com). No protocol prefix.
archive,company_target_orphaned_archive_ctb,ctb_archived_at,timestamp with time zone,YES,,30,Timestamp when ctb archived occurred.
archive,company_url_discovery_failures_ctb,failure_id,uuid,YES,,1,Identifier for failure.
archive,company_url_discovery_failures_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,company_url_discovery_failures_ctb,website_url,text,YES,,3,Full website URL with protocol.
archive,company_url_discovery_failures_ctb,failure_reason,character varying,YES,,4,Reason for failure.
archive,company_url_discovery_failures_ctb,retry_count,integer,YES,,5,Number of retry attempts made so far.
archive,company_url_discovery_failures_ctb,last_attempt_at,timestamp with time zone,YES,,6,Timestamp of the most recent processing attempt.
archive,company_url_discovery_failures_ctb,next_retry_at,timestamp with time zone,YES,,7,Timestamp of next scheduled retry attempt.
archive,company_url_discovery_failures_ctb,resolved_at,timestamp with time zone,YES,,8,Timestamp when this issue was resolved.
archive,company_url_discovery_failures_ctb,created_at,timestamp with time zone,YES,,9,Timestamp when this record was created.
archive,company_url_discovery_failures_ctb,disposition,USER-DEFINED,YES,,10,Disposition. May be NULL.
archive,company_url_discovery_failures_ctb,max_retries,integer,YES,,11,Maximum number of retries allowed before exhaustion.
archive,company_url_discovery_failures_ctb,archived_at,timestamp with time zone,YES,,12,Timestamp when this record was moved to archive.
archive,company_url_discovery_failures_ctb,parked_at,timestamp with time zone,YES,,13,Timestamp when this record was parked (deferred for later review).
archive,company_url_discovery_failures_ctb,parked_by,text,YES,,14,User or system that parked this record.
archive,company_url_discovery_failures_ctb,park_reason,text,YES,,15,Reason for park.
archive,company_url_discovery_failures_ctb,escalation_level,integer,YES,,16,"Current escalation level (0=normal, 1=elevated, 2=critical)."
archive,company_url_discovery_failures_ctb,escalated_at,timestamp with time zone,YES,,17,Timestamp when this record was escalated to higher priority.
archive,company_url_discovery_failures_ctb,ttl_tier,USER-DEFINED,YES,,18,Ttl tier. May be NULL.
archive,company_url_discovery_failures_ctb,last_retry_at,timestamp with time zone,YES,,19,Timestamp of the most recent retry attempt.
archive,company_url_discovery_failures_ctb,retry_exhausted,boolean,YES,,20,Whether all retry attempts have been exhausted. Boolean.
archive,company_url_discovery_failures_ctb,ctb_archived_at,timestamp with time zone,YES,,21,Timestamp when ctb archived occurred.
archive,company_validation_failures_log_ctb,id,integer,YES,,1,Id. May be NULL.
archive,company_validation_failures_log_ctb,company_id,text,YES,,2,Identifier for company.
archive,company_validation_failures_log_ctb,person_id,text,YES,,3,Identifier for person.
archive,company_validation_failures_log_ctb,company_name,text,YES,,4,Company name.
archive,company_validation_failures_log_ctb,person_name,text,YES,,5,Name of person.
archive,company_validation_failures_log_ctb,fail_reason,text,YES,,6,Reason for fail.
archive,company_validation_failures_log_ctb,state,text,YES,,7,US state code.
archive,company_validation_failures_log_ctb,validation_timestamp,timestamp with time zone,YES,,8,Validation timestamp. May be NULL.
archive,company_validation_failures_log_ctb,pipeline_id,text,YES,,9,Identifier for pipeline.
archive,company_validation_failures_log_ctb,failure_type,text,YES,,10,Classification type for failure.
archive,company_validation_failures_log_ctb,created_at,timestamp with time zone,YES,,11,Timestamp when this record was created.
archive,company_validation_failures_log_ctb,updated_at,timestamp with time zone,YES,,12,Timestamp of last modification to this record.
archive,company_validation_failures_log_ctb,exported_to_sheets,boolean,YES,,13,Whether exported to sheets. Boolean.
archive,company_validation_failures_log_ctb,exported_at,timestamp with time zone,YES,,14,Timestamp when this record was exported.
archive,company_validation_failures_log_ctb,exported_to_b2,boolean,YES,,15,Whether exported to b2. Boolean.
archive,company_validation_failures_log_ctb,exported_to_b2_at,timestamp without time zone,YES,,16,Timestamp when exported to b2 occurred.
archive,company_validation_failures_log_ctb,archived_at,timestamp with time zone,YES,,17,Timestamp when this record was moved to archive.
archive,dol_pressure_signals_ctb,signal_id,uuid,YES,,1,Identifier for signal.
archive,dol_pressure_signals_ctb,company_unique_id,text,YES,,2,Company identifier. May be UUID (sovereign) or text (Barton ID) depending on table.
archive,dol_pressure_signals_ctb,signal_type,character varying,YES,,3,Classification type for signal.
archive,dol_pressure_signals_ctb,pressure_domain,USER-DEFINED,YES,,4,Pressure domain. May be NULL.
archive,dol_pressure_signals_ctb,pressure_class,USER-DEFINED,YES,,5,Pressure class. May be NULL.
archive,dol_pressure_signals_ctb,signal_value,jsonb,YES,,6,JSONB data for signal value.
archive,dol_pressure_signals_ctb,magnitude,integer,YES,,7,Magnitude. May be NULL.
archive,dol_pressure_signals_ctb,detected_at,timestamp with time zone,YES,,8,Timestamp when detected occurred.
archive,dol_pressure_signals_ctb,expires_at,timestamp with time zone,YES,,9,Timestamp when expires occurred.
archive,dol_pressure_signals_ctb,correlation_id,uuid,YES,,10,UUID linking this record to the broader operation for audit trail.
archive,dol_pressure_signals_ctb,source_record_id,text,YES,,11,Original record ID from the source system.
